plants,R,G,B,FW (g),stem length (cm)
mini chal tomato,30,0,70,3.74,12
mini chal tomato,20,20,60,3.23,13
mini chal tomato,20,40,40,3.45,15
Grape,100,0,0,0,4.494
Grape,0,0,100,0,3.058
Basil,93,0,7,0,19
Basil,70,0,30,0,19.5
Dill,93,0,7,0,24.5
Dill,70,0,30,0,24.5
Parsley,93,0,7,0,20.5
Parsley,70,0,30,0,19.5
lettuce,100,0,0,0,12.5
lettuce,0,0,100,0,12.3
lettuce,50,0,50,0,12
Lettice green oak.,75,0,25,0,7.5
lettuce,100,0,0,83.03,26.413
lettuce,0,0,100,61.71,21.063
lettuce,50,0,50,74.66,22.765
strawberry,100,0,0,0,0
strawberry,0,0,100,0,0
strawberry,50,0,50,0,0
Chinese kale,0,0,100,41.54,17.4
Chinese kale,0,0,100,58.74,25.6
Chinese kale,0,0,100,56.58,24.27
Chinese kale,0,0,100,43.33,19.13
Chinese Cabbage,100,0,0,5.93,0
Chinese Cabbage,0,0,100,6.67,0
Chinese Cabbage,50,0,50,5.28,0
